"ID","Type","Name","Documentation","Specialization"
"id-e2db1fa4c5b741b1aaa79f5e41fe61a1","ArchimateModel","Digime viitearkkitehtuuri","",""
"id-e7e5aa3b22054eccba09d6ebad2d67fa","Capability","","",""
"id-c06314f0a589439fb0db84cb79b91049","Capability","Aineistojen jakelu ja saatavuus","",""
"id-d1849e91c730403e930795c88197d412","Capability","Aineistojen kuvailu","",""
"id-d79e84d3a66848adae6b020a67531a87","Capability","Aineistojen kuvailu","",""
"id-953f3734ff4543d4b6c0e642577f174f","Capability","Aineistokokonaisuuksien hallinta","",""
"id-ab3fcebf72434d0ca439158b154fc647","Capability","Arvonmääritys","",""
"id-5bb7d2e8bb144e9aadb98bfe36119d45","Capability","Asiasanastojen ja ontologioiden hallinta","",""
"id-62e60c3faa4a4093bf6bec576d33627c","Capability","Asiasanastojen ja ontologioiden hyödyntäminen","",""
"id-e3fd5df963994656a48161a87c33ebf5","Capability","Audio","",""
"id-9d42f8e960c64fa1b25969fd877d0e5b","Capability","Capability","",""
"id-582763df9a524637918ce371426801c7","Capability","Capability","",""
"id-0b4a7fa2b1104189b35025204c408b04","Capability","Capability","",""
"id-4cd61dc371ef4d3e95a7ebb77f234951","Capability","Capability","",""
"id-59d9f7dac6504441b8900c114e2a28c9","Capability","Capability","",""
"id-98d56343c3164792afc7c3be10a61cf3","Capability","Capability","",""
"id-ec709ad0471747c9aed2f6e8c3b993c3","Capability","Data-arkeologia","Tietotekninen osaaminen ja digitaalisen kulttuurin tuntemus jota tarvitaan syntysähköisten aineistojen, kuten tiedostojen, ohjelmistojen ja verkkosisältöjen löytämiseen, keräämiseen, säilyttämiseen ja suojaamiseen tuhoutumiselta. Data-arkeologian tavoitteena on varmistaa digitaalisen kulttuuriperinnön säilyvyys, autenttisuus ja käytettävyys tulevaisuudessa, huomioiden teknologian vanhentuminen ja verkossa olevien aineistojen haavoittuvuus ja nopea häviäminen.",""
"id-8a731c4893e140ac826f387f14c0478a","Capability","Data-avaruudet","",""
"id-0c0278f36c4547e79ddff898e8e12d0d","Capability","Data-avaruudet (copy)","",""
"id-3960d7ede366475b92388a60931f600b","Capability","Datainfrastruktuurien hallinta","",""
"id-8c2c909dd1e0456dbda25ec880864b41","Capability","Datainfrastruktuurien hyödyntäminen","",""
"id-e26e0c757a0747cdb050d19d59ea3d46","Capability","Datan dokumentointi","",""
"id-87e8e1ff4f114fcaaf4e3f38268e26a6","Capability","Datanhallinta","",""
"id-555aa7855a6b47e2a2c4d3accbc727a7","Capability","Datanhallinta","",""
"id-0ce77aa1d6244e328064c30a493968ab","Capability","Datankäsittely","",""
"id-df38470aba7c4fac8eb0d8128c3a91f8","Capability","Datankäsittely","",""
"id-97d9fe85b9854f43b6471b358834d6f7","Capability","Digitaalinen arkistointi","",""
