"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-41a3c09ac07e499d843bc042b249424e","AccessRelationship","","","id-22e56cbdde2f46f3b6d73f447b838947","id-a7b24c62669c40babd37a450c35f8f11",""
"id-c800e53b5ce649d8bb72c087225b73f3","AccessRelationship","","","id-1f81bd570ec543b5a40a6d48fb6e2bce","id-a7b24c62669c40babd37a450c35f8f11",""
"id-1bd21df7998044399cf7410a8b143a3e","AccessRelationship","","","id-17af9c0d1971419a9b0b58788c8afbd8","id-a7b24c62669c40babd37a450c35f8f11",""
"id-fd5dfd42cf7e451cb68af5db376d5c70","AccessRelationship","","","id-0e8001e7f225482aae547cac2a0fb348","id-0a8c49618fa34ee88937e83f6e1b877e",""
"id-239c8cddf9634d28a2725d58fe8547e7","AccessRelationship","","","id-a3bb49e5ca2c4c20b800d4c8996b7da7","id-a7b24c62669c40babd37a450c35f8f11",""
"id-c4041e3229384d84973f5cce32fc7807","AccessRelationship","","","id-420e540045f74b17a4fbc3d0eac9f95b","id-a7b24c62669c40babd37a450c35f8f11",""
"id-fdd1e146fc554428a093a95d3b9b2c22","AccessRelationship","","","id-10a1a6745ad2434e929489584a9e7883","id-a7b24c62669c40babd37a450c35f8f11",""
"id-cc843c8de45c4fc388378d5fdbe6f090","AccessRelationship","arvonmääritys","","id-8f08abf7042a413e8edbe1247537151a","id-6a01d536d17b4194b073bca1917a424e",""
"id-c16db46ce0e5456b9fb56bbb53238b63","AccessRelationship","Hyödyntä","","id-16668215576642cb8ed0564091c9e188","id-6a01d536d17b4194b073bca1917a424e",""
"id-36ad791d3a3240838ed11d329f25b124","AccessRelationship","hyödyntää","","id-16668215576642cb8ed0564091c9e188","id-fbce5c29fd09473982b9b826329ebd50",""
"id-82d266a16fab4c15aa8e40fd327f1995","AccessRelationship","käyttää","","id-274f93ffeace49c3bfef0826d8649cd9","id-226204b7e37d4af982c7b87182bebc5d",""
"id-c54bc530d6f84cd59619bb11976ad2fe","AccessRelationship","Liittyy","","id-3360de694c97411fa79de1012dd5b5ed","id-572170b63f89455eb5cf45ff7502d9ab",""
"id-7b58c1ad86b148e98f99bc39bfa1fc0a","AccessRelationship","luo","","id-1882fb38ab024119be451e948c265005","id-6a01d536d17b4194b073bca1917a424e",""
"id-0de646f73a5549958867e5fc3f7e534b","AccessRelationship","suojelutoimet","","id-8f08abf7042a413e8edbe1247537151a","id-fbce5c29fd09473982b9b826329ebd50",""
"id-c76165ff937d47c4a98a215baa9b9144","AccessRelationship","välittää","","id-85cb668cd865439fa339855ccb56bda0","id-fbce5c29fd09473982b9b826329ebd50",""
"id-10b2f0e8b757458c95fda93974e96a87","AggregationRelationship","","","id-37632fee357b4965b1e9472d7b383a9f","id-57b54ce3eb0f49459303ca73a1d6e0aa",""
"id-31f35b59c1354dd681afa580988554ee","AggregationRelationship","","","id-57b54ce3eb0f49459303ca73a1d6e0aa","id-201e9583fc3d4f9c89f35f3b898674f3",""
"id-00fabf7a0fa747c1ab5d0ac78cf94a22","AggregationRelationship","","","id-84b9a36aff13412aafea78fbb18a889c","id-1465284dfe094f5d9408570439484bb8",""
"id-e995abd472e64072bf852c4f303353ec","AggregationRelationship","","","id-57b54ce3eb0f49459303ca73a1d6e0aa","id-41c2c1bdb5c84022afab30ffa6f5e9b3",""
"id-81d33c78a528425695a28a13bdf0f0ad","AggregationRelationship","","","id-0483c8e8cf3045b582333a1bc26a266b","id-15068499d32643f1b721fccea0c48935",""
"id-3bf81369010d439585a056628808d8ec","AggregationRelationship","","","id-bbe1263a3b0343bfa249fbeda7897a0b","id-84b9a36aff13412aafea78fbb18a889c",""
"id-818ceb689cfd4e86947e216944a3e1df","AggregationRelationship","","","id-1465284dfe094f5d9408570439484bb8","id-52e04e412ba64ce98e00da0e691fec65",""
"id-a8b92d85d80749ddb4e5d36b71092fe6","AggregationRelationship","","","id-97c16c49943e410d93d024e2364c1f7f","id-0c67f4ba1753421c87e964e084577a23",""
"id-dc92624a45c14e80992b666901996e27","AggregationRelationship","","","id-1465284dfe094f5d9408570439484bb8","id-3cb212b4a6a342b9b897a1705457e433",""
"id-85c1d0a96d8a450798f4b10a4a4471e6","AggregationRelationship","","","id-a2d61b42b4564e54ae1b1779cc587cc2","id-ae10ee2d234e47a38111001379f3a9cf",""
"id-0b1d6436968d4682a2b344722463c243","AggregationRelationship","","","id-c5bba1cb5cb54885b6f3bf675aca93dc","id-3dd50a0b01a54a8f9f53a1e7d5729f7c",""
"id-0250fad005a5476a8f03185f27822a1e","AggregationRelationship","","","id-3cb212b4a6a342b9b897a1705457e433","id-062234a95d494456b98d6f40bb3793b1",""
"id-3dedbc90ba974408be66dee985023106","AggregationRelationship","","","id-1465284dfe094f5d9408570439484bb8","id-c7b8c844e8fd4e32a254732090cb7c56",""
"id-88a1efa96d094dff86d306db71f86c70","AggregationRelationship","","","id-57b54ce3eb0f49459303ca73a1d6e0aa","id-89a721b426394b27bb762edba703fe98",""
"id-83ce59ddbebb4968a4eb0c37e8cd9fa3","AggregationRelationship","","","id-7db31b95b44a40f19a80546ea1f6c91a","id-4b6330594e064923bde7b75529ba3924",""
"id-f6f32b3375e241aaa766e211659d736b","AggregationRelationship","","","id-37632fee357b4965b1e9472d7b383a9f","id-41c2c1bdb5c84022afab30ffa6f5e9b3",""
"id-690a959ce4264e45908f87b0844ec140","AggregationRelationship","","","id-84b9a36aff13412aafea78fbb18a889c","id-c7b8c844e8fd4e32a254732090cb7c56",""
"id-5c4eb79bf49348319b2a80e618e9540c","AggregationRelationship","","","id-201e9583fc3d4f9c89f35f3b898674f3","id-97c16c49943e410d93d024e2364c1f7f",""
"id-6496ef8634e74159a44a611d11817ce1","AggregationRelationship","","","id-57b54ce3eb0f49459303ca73a1d6e0aa","id-fc60931a60a14adea6fe01cec95b69af",""
"id-a8d3cccc18094929b212252157ea02ab","AggregationRelationship","","","id-76881bc4748649b893fe71d4934fe5b7","id-6a173ad4c7a6479d9d9920536a35610e",""
"id-c728fe8f425b4a98af23cbb74eb22ad5","AggregationRelationship","","","id-3cb212b4a6a342b9b897a1705457e433","id-3dd50a0b01a54a8f9f53a1e7d5729f7c",""
"id-b6bf792e3c8e46a4a194e9e1340b72dd","AggregationRelationship","Indikaattori","","id-3bc25f8767b445a98ac9249f5e18e391","id-6969ac7ba14e4339bdb1c115982f169b",""
"id-e20e9126bab541e58aa98ecc081cf647","AggregationRelationship","koostuu","","id-0e656cd8ed9d40f89fa04c0ce49d5716","id-0fb8dd2ccc014ed8a70f78e90b1355d5",""
"id-7d630e373a574def88cd1a7e48caad7e","AggregationRelationship","koostuu","","id-fbce5c29fd09473982b9b826329ebd50","id-6a01d536d17b4194b073bca1917a424e",""
"id-6d8c5039e2054502a7d5a81b29fc0c4a","AssignmentRelationship","","","id-117dca03dd9d4ccb80ddcf044ff74524","id-e697579f6d424d1191144429b5855e03",""
"id-d27c7e89003047babc03bd66a34e3818","AssignmentRelationship","","","id-b59e5fbbbd0e449591a7fc9fe707eeb3","id-8171b883b7064366beb8092958e9d37e",""
"id-e896b109abc34bbebb0dce3301aaffee","AssignmentRelationship","","","id-9cc44f88f60d463389db5bc4125f8233","id-61d4bbf5401c4d11b114df6011aa87ad",""
"id-f15b9f5f153140debeca5861aa345781","AssignmentRelationship","","","id-fd36478e292c4bccb9c843cd83ddb3b8","id-d01ff43934294f029d866cf766e33686",""
"id-22e7f4cdf2ac453d991b6d7744f5c4a1","AssignmentRelationship","","","id-b59e5fbbbd0e449591a7fc9fe707eeb3","id-f389998331874347b009ef0affba204e",""
"id-dfc4ba287b7e44a9bf4f58466203d047","AssignmentRelationship","","","id-f7d52fd569fc471fb16dfd0fa1155e6d","id-2f6cff224fe34f5ca05be272cafd9dbb",""
"id-34a1b91ca6dc430ab8739373d97efa44","AssignmentRelationship","","","id-99f98eadff47421faa44ff848680aaf5","id-be5ddc42674540e2bb045143f4f196ee",""
"id-d2661a126f92417ba0832fc61d6e800b","AssignmentRelationship","","","id-e90081f772ef41528621dd7dcf8e9366","id-b74b939950634c9c867b31a8c2dba93b",""
"id-6f6877a1078147a78a9141d4f83575dc","AssignmentRelationship","","","id-b59e5fbbbd0e449591a7fc9fe707eeb3","id-0d04d648bc644323bee8a34787e0f21e",""
"id-5aaa604804154b53a700c17d9acf6eb5","AssignmentRelationship","","","id-117dca03dd9d4ccb80ddcf044ff74524","id-4ebaf4f69f9f4731bfeb88911111b228",""
"id-46c3a923233749e2b1b8d42b0e8bebbe","AssignmentRelationship","","","id-913be720169e4da7be92174a8aa6d7f3","id-894cb939fdad443489492ed737f71793",""
"id-f5aef244d439426bbdeb6eaa0c117437","AssignmentRelationship","","","id-117dca03dd9d4ccb80ddcf044ff74524","id-76693b22c9ac47698187c732f00cb3ab",""
"id-53bdfc9f00004bb3a766889b56a430c7","AssignmentRelationship","","","id-fd36478e292c4bccb9c843cd83ddb3b8","id-17132068ead642bc89abb4085fcab544",""
"id-9bbb11357396417e84440d59bb2e1060","AssignmentRelationship","","","id-dd92771cea874367aed18a54e5014ef8","id-4e5a6312c1ea43dab80f233206b0e963",""
"id-ae860a248612457bbf39856561a4c84d","AssignmentRelationship","","","id-a70d781bf44944cbbeee2af7181148a8","id-b59d33e88f9447deb70ad2d74c015c76",""
"id-45610bc8183b4d02be7ede69af0aab67","AssignmentRelationship","","","id-405cbe11410b49e1a835663f989bca52","id-30c5eda839214be08b8e8737dcf9ef42",""
"id-35907ff4b67b4c5fa89e6fc8bb27193a","AssignmentRelationship","","","id-117dca03dd9d4ccb80ddcf044ff74524","id-ee7c7cee7e8f4afc9826028c72f2aa14",""
"id-a10830655f234e93a600ce9f0b4671f0","AssignmentRelationship","","","id-3b926b2450e44a7ca43651dd8e728e6d","id-65f7789fbad94359ab389c7d1204a805",""
"id-2700e0b03d624eefa66c0fa228446377","AssignmentRelationship","","","id-b59e5fbbbd0e449591a7fc9fe707eeb3","id-59dc06620f774e16b8e11136532eaf38",""
"id-0e0359596cf54fdbba1897cb9cb7f713","AssignmentRelationship","","","id-a4ed7cf3e11e423eb1ce7f3f02cad67a","id-f2b78a66885e47aaa3f1ea73f92fa086",""
"id-dfe8f81964134458a2a40fe88c4af3c2","AssignmentRelationship","","","id-dd92771cea874367aed18a54e5014ef8","id-661072e7267a4f86a7317c29b3291511",""
"id-6f99df61b40f412baad923d13e790502","AssignmentRelationship","","","id-a5f68df5e2b944db813cf8d19ac21574","id-6194848d0b894b98ad7261c71ff4a9f9",""
"id-eca16511a43047f9ab64b0e214f0fa59","AssignmentRelationship","Osallistuu","","id-1f65dcacd94f4f44be1d75fc1e3382d2","id-a1e99bd819984d549cde963c507a6500",""
"id-e899a80c1aaf41c58da5c1a7f57ce6ca","AssignmentRelationship","Toimii","","id-9b254590102d4267bc83622899ed97cf","id-2f95f86c47c249b2b637f5779c81e936",""
"id-36f5b02971c1491e82ca23892f8f1327","AssignmentRelationship","Toimii","","id-1f65dcacd94f4f44be1d75fc1e3382d2","id-aa030da716084d8f904997b48f387fd0",""
"id-d057737b232a4367afefca094647323e","AssignmentRelationship","Tukee","","id-d740fa714ca44747814eb8effa629407","id-5feffa3beb3f44f6b0794656ea194141",""
"id-10ff94a104ef4dde918ab29118702c8b","AssociationRelationship","","","id-c5eea1edaa284003ae319d136d216b4c","id-1102ad0ac03a45dc85c0527d6037108a",""
